LawID,LegislatorID,LegislatorName,LegislatorReligion,LegislatorRuleBegin,LegislatorRuleEnd,TerID,TerShortLabel,TerSeq,TerLabel,TerType1,TerType2,TerReligion,TerPublished,TerEditor,Date,Year,Form,Canton,Canton_rec,Scope_clean2,Scope_clean3,Scope_clean4,Scope_clean5,Scope_clean6,Scope_clean7,Scope_clean8,Scope_clean9,Scope_clean10,Scope_clean11,Scope_clean12,Scope_clean13,Archive,StAB,Archive_folder,Pages,Title,Matters_level2_num01,Matters_level2_01,Matters_level3_01,Matters_level4_01,Matters_01_addinfo,Matters_level2_num02,Matters_level2_02,Matters_level3_02,Matters_level4_02,Matters_02_addinfo,Matters_level2_num03,Matters_level2_03,Matters_level3_03,Matters_level4_03,Matters_03_addinfo,Matters_level2_num04,Matters_level2_04,Matters_level3_04,Matters_level4_04,Matters_04_addinfo,Matters_level2_num05,Matters_level2_05,Matters_level3_05,Matters55,Matters_level4_05,Matters_level2_num06,Matters_level2_06,Matters_level3_06,Matters_level4_06,Matters_06_addinfo,Matters_level2_num07,Matters_level2_07,Matters_level3_07,Matters_level4_07,Matters_07_addinfo,Matters_level2_num08,Matters_level2_08,Matters_level3_08,Matters_level4_08,Matters_08_addinfo,Matters_level2_num09,Matters_level2_09,Matters_level3_09,Matters_level4_09,Matters_09_addinfo,Matters_level2_num10,Matters_level2_10,Matters_level3_10,Matters_level4_10,Matters_10_addinfo,Matters_level2_num11,Matters_level2_11,Matters_level3_11,Matters_level4_11,Matters_level2_num12,Matters_level2_12,Matters_level3_12,Matters_level4_12,Matters_level2_num13,Matters_level2_13,Matters_level3_13,Matters_level4_13,Matters_level2_num14,Matters_level2_14,Matters_level3_14,Matters_level4_14,Matters_14_addinfo,Matters_level2_num15,Matters_level2_15,Matters_level3_15,Matters_level4_15,Matters_level2_num16,Matters_level2_16,Matters_level3_16,Matters_level4_16,Matters_level2_num17,Matters_level2_17,Matters_level3_17,Matters_level4_17,Matters_17_addinfo,Matters_level2_num18,Matters_level2_18,Matters_level3_18,Matters_level4_18,Matters_18_addinfo,Matters_level2_num19,Matters_level2_19,Matters_level3_19,Matters_level4_19,Matters_level2_num20,Matters_level2_20,Matters_level3_20,Matters_level4_20,Matters_level2_num21,Matters_level2_21,Matters_level3_21,Matters_level4_21,Matters_level2_num22,Matters_level2_22,Matters_level3_22,Matters_level4_22,Matters_22_addinfo,Matters_level2_num23,Matters_level2_23,Matters_level3_23,Matters_level4_23,Matters_23_addinfo,Matters_level2_num24,Matters_level2_24,Matters_level3_24,Matters_level4_24,Matters_24_addinfo,Matters_level2_num25,Matters_level2_25,Matters_level3_25,Matters_level4_25,Matters_level2_num26,Matters_level2_26,Matters_level3_26,Matters_level4_26
BER.01.001.1376,BER.01.001,SchultheiÃŸ und Kleiner und GroÃŸer Rat der Stadt Bern,EV,1528,1798,BER,BER,1,Bern,EidgenÃ¶ssischer Ort,WL,EV,7,Claudia Schott-Volm,9/4/1647,1647,Verordnung,Canton of Bern,Canton of Bern,Nidau,Erlach,BÃ¼ren,Aarberg, , , , , , , , ,"StAB, A I 485, S. 183 f.",StAB,A I 485,S. 183 f.,Wider das gar Ã¼berhandnemmende Fluchen und Schweren.,1.1,Religionsangelegenheiten,Geistlichkeit,",SchwÃ¶ren & Fluchen; Duldung; ZuhÃ¶rer; Obrigkeiten; Gott; Predigt; AmtsausÃ¼bung; LebensfÃ¼hrung", ,1.1,Religionsangelegenheiten,GotteslÃ¤sterung,",SchwÃ¶ren & Fluchen; Duldung; ZuhÃ¶rer; Obrigkeiten; Gott; Predigt; AmtsausÃ¼bung; LebensfÃ¼hrung", ,1.5,Sittlichkeit; Ehe- und Familie; SexualitÃ¤t,Familie/EhefÃ¼hrung,",Kindererziehung", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
BER.01.001.1380,BER.01.001,SchultheiÃŸ und Kleiner und GroÃŸer Rat der Stadt Bern,EV,1528,1798,BER,BER,1,Bern,EidgenÃ¶ssischer Ort,WL,EV,7,Claudia Schott-Volm,12/31/1647,1647,Verordnung,Canton of Bern,Canton of Bern,Seedorf,MÃ¼nchenbuchsee,Krauchthal,Fraubrunnen,Laupen, , , , , , , ,"StAB, A I 485, S. 190-192",StAB,A I 485,S. 190-192,"1. Insechen wider der LandtleÃ¼ten Unwesen in der Stadt an den WuchenmÃ¤riten. 2. Ob den ussgeschribnen Ordnungen, wider allerley Ãœppigkeit zehalten.",1.1,Religionsangelegenheiten,Geistlichkeit,",Predigt", ,2.1,VergnÃ¼gungen; Ã–ffentliche Leichtfertigkeit,UmzÃ¼ge/Feste,",ZusammenkÃ¼nfte; Fastnacht; Feuerwerk; Mummenschanz", ,2.2,Ã–ffentliche Sicherheit; KriminalitÃ¤t,Sicherung Stadt/Land,",Kirchweih", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
BER.01.001.1401,BER.01.001,SchultheiÃŸ und Kleiner und GroÃŸer Rat der Stadt Bern,EV,1528,1798,BER,BER,1,Bern,EidgenÃ¶ssischer Ort,WL,EV,7,Claudia Schott-Volm,9/15/1648,1648,Verordnung,Canton of Bern,Canton of Bern,MÃ¼nchenbuchsee,Gals,Fraubrunnen, , , , , , , , , ,"StAB, A I 485, S. 238 f.",StAB,A I 485,S. 238 f.,Inen ire geschwulnen ordinari Vass reformieren.,1.1,Religionsangelegenheiten,Klosterwesen/Orden,",Klosterwesen; VÃ¶gte; MiÃŸbrÃ¤uche; WeinfÃ¤sser", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
BER.01.001.1454,BER.01.001,SchultheiÃŸ und Kleiner und GroÃŸer Rat der Stadt Bern,EV,1528,1798,BER,BER,1,Bern,EidgenÃ¶ssischer Ort,WL,EV,7,Claudia Schott-Volm,9/16/1650,1650,Verordnung,Canton of Fribourg,Controlled by Bern,Murten,Echallens, , , , , , , , , , ,"StAB, A I 485, S. 324 f.",StAB,A I 485,S. 324 f.,Ausschreibung eines Fasttags.,1.1,Religionsangelegenheiten,Feiertage/ReligiÃ¶se Feste,",BuÃŸ- & Bettag; Fastenzeit; Gute Werke", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
BER.01.001.1462,BER.01.001,SchultheiÃŸ und Kleiner und GroÃŸer Rat der Stadt Bern,EV,1528,1798,BER,BER,1,Bern,EidgenÃ¶ssischer Ort,WL,EV,7,Claudia Schott-Volm,4/7/1651,1651,Verordnung,Canton of Fribourg,Controlled by Bern,Burgdorf,BÃ¼ren,Nidau,Aarau,Brugg,Thun, , , , , , ,"StAB, A I 485, S. 348 f.",StAB,A I 485,S. 348 f.,An die Herren Decanen.,1.1,Religionsangelegenheiten,Kirchenorganisation,",Kapitel", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
BER.01.001.1499,BER.01.001,SchultheiÃŸ und Kleiner und GroÃŸer Rat der Stadt Bern,EV,1528,1798,BER,BER,1,Bern,EidgenÃ¶ssischer Ort,WL,EV,7,Claudia Schott-Volm,5/3/1652,1652,Verordnung,Canton of Fribourg,Controlled by Bern,Burgdorf,BÃ¼ren,Nidau,Langenthal,Aarau,Brugg,Thun, , , , , ,"StAB, A I 485, S. 415",StAB,A I 485,S. 415,Ann die Herren Decanen [ [...],1.1,Religionsangelegenheiten,Kirchenorganisation,",Kapitel", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
BER.01.001.1503,BER.01.001,SchultheiÃŸ und Kleiner und GroÃŸer Rat der Stadt Bern,EV,1528,1798,BER,BER,1,Bern,EidgenÃ¶ssischer Ort,WL,EV,7,Claudia Schott-Volm,7/19/1652,1652,Verordnung,Canton of Vaud,Controlled by Bern,Echallens,Murten,Grandson,Schwarzenburg, , , , , , , , ,"StAB, A I 485, S. 419 f.",StAB,A I 485,S. 419 f.,Fast- Buss- und BÃ¤ttag.,1.1,Religionsangelegenheiten,Feiertage/ReligiÃ¶se Feste,",BuÃŸ- & Bettag; Fastenzeit", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
BER.01.001.1540,BER.01.001,SchultheiÃŸ und Kleiner und GroÃŸer Rat der Stadt Bern,EV,1528,1798,BER,BER,1,Bern,EidgenÃ¶ssischer Ort,WL,EV,7,Claudia Schott-Volm,10/6/1653,1653,Ordnung,Canton of Bern,Canton of Bern,Sumiswald, ,Trachselwald, , , , , , , , , ,"StAB, A I 485, S. 501-505 & 508-513",StAB,A I 485,S. 501-505 & 508-513,Emmentalische bewilligte Articul.,1.1,Religionsangelegenheiten,Kirchenorganisation,",Kirchenorganisation; VermÃ¶gen; Rechnungswesen,Landsgemeinde u. Ehrschatz nich eingegeben", ,2.4,Policey der Verwaltung und Justiz,AmtsfÃ¼hrung/AmtsmiÃŸbrauch,",ÃœbermÃ¤ÃŸige GebÃ¼hren; ÃœbermÃ¤ÃŸige Spesen; Boten; Gerichte; GebÃ¼hren; BuÃŸe", ,2.4,Policey der Verwaltung und Justiz,Strafvollstreckung,",ÃœbermÃ¤ÃŸige GebÃ¼hren; ÃœbermÃ¤ÃŸige Spesen; Boten; Gerichte; GebÃ¼hren; BuÃŸe", ,4.1,Landwirtschaft,Ernteordnung/Feudalabgaben, , ,4.5, , , , ,4.6, , , , ,4.6, , , , ,4.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
BER.01.001.1542,BER.01.001,SchultheiÃŸ und Kleiner und GroÃŸer Rat der Stadt Bern,EV,1528,1798,BER,BER,1,Bern,EidgenÃ¶ssischer Ort,WL,EV,7,Claudia Schott-Volm,10/17/1653,1653,Verordnung,Canton of Vaud,Controlled by Bern,Echallens,Murten,Schwarzenburg,Val MÃ¼stair,Villeneuve,Grandson, , , , , , ,"StAB, A I 485, S. 515 f.",StAB,A I 485,S. 515 f.,Ein Buss- Fast- unnd BÃ¤ttag ussschreiben.,1.1,Religionsangelegenheiten,Feiertage/ReligiÃ¶se Feste,",BuÃŸ- & Bettag; Fastenzeit", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
BER.01.001.1662,BER.01.001,SchultheiÃŸ und Kleiner und GroÃŸer Rat der Stadt Bern,EV,1528,1798,BER,BER,1,Bern,EidgenÃ¶ssischer Ort,WL,EV,7,Claudia Schott-Volm,5/24/1658,1658,Verordnung,Canton of Vaud,Controlled by Bern,Payerne,Moudon,Oron,Veytaux,Aigle,Avenches, , , , , , ,"StAB, A I 487, S. 2",StAB,A I 487,S. 2,Ein Collect [...] aufzenemmen.,1.1,Religionsangelegenheiten,Geistlichkeit,",Aufruf; Kollekte", ,3.2,Sozialwesen,Armenwesen,",Kollekte", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
