LawID,LegislatorID,LegislatorName,LegislatorReligion,LegislatorRuleBegin,LegislatorRuleEnd,TerID,TerShortLabel,TerSeq,TerLabel,TerType1,TerType2,TerReligion,TerPublished,TerEditor,Date,Form,Scope_clean 2,Scope_clean 3,Scope_clean 4,Scope_clean 5,Scope_clean 6,Scope_clean 7,Scope_clean 8,Scope_clean 9,Scope_clean 10,Scope_clean 11,Scope_clean 12,Scope_clean 13,Archive,StAB,Archive_folder,Pages,Title,Matters_level2_num01,Matters_level2_01,Matters_level3_01,Matters_level4_01,Matters_01_addinfo,Matters_level2_num02,Matters_level2_02,Matters_level3_02,Matters_level4_02,Matters_02_addinfo,Matters_level2_num03,Matters_level2_03,Matters_level3_03,Matters_level4_03,Matters_03_addinfo,Matters_level2_num04,Matters_level2_04,Matters_level3_04,Matters_level4_04,Matters_04_addinfo,Matters_level2_num05,Matters_level2_05,Matters_level3_05,Matters 5 5,Matters_level4_05,Matters_level2_num06,Matters_level2_06,Matters_level3_06,Matters_level4_06,Matters_06_addinfo,Matters_level2_num07,Matters_level2_07,Matters_level3_07,Matters_level4_07,Matters_07_addinfo,Matters_level2_num08,Matters_level2_08,Matters_level3_08,Matters_level4_08,Matters_08_addinfo,Matters_level2_num09,Matters_level2_09,Matters_level3_09,Matters_level4_09,Matters_09_addinfo,Matters_level2_num10,Matters_level2_10,Matters_level3_10,Matters_level4_10,Matters_10_addinfo,Matters_level2_num11,Matters_level2_11,Matters_level3_11,Matters_level4_11,Matters_level2_num12,Matters_level2_12,Matters_level3_12,Matters_level4_12,Matters_level2_num13,Matters_level2_13,Matters_level3_13,Matters_level4_13,Matters_level2_num14,Matters_level2_14,Matters_level3_14,Matters_level4_14,Matters_14_addinfo,Matters_level2_num15,Matters_level2_15,Matters_level3_15,Matters_level4_15,Matters_level2_num16,Matters_level2_16,Matters_level3_16,Matters_level4_16,Matters_level2_num17,Matters_level2_17,Matters_level3_17,Matters_level4_17,Matters_17_addinfo,Matters_level2_num18,Matters_level2_18,Matters_level3_18,Matters_level4_18,Matters_18_addinfo,Matters_level2_num19,Matters_level2_19,Matters_level3_19,Matters_level4_19,Matters_level2_num20,Matters_level2_20,Matters_level3_20,Matters_level4_20,Matters_level2_num21,Matters_level2_21,Matters_level3_21,Matters_level4_21,Matters_level2_num22,Matters_level2_22,Matters_level3_22,Matters_level4_22,Matters_22_addinfo,Matters_level2_num23,Matters_level2_23,Matters_level3_23,Matters_level4_23,Matters_23_addinfo,Matters_level2_num24,Matters_level2_24,Matters_level3_24,Matters_level4_24,Matters_24_addinfo,Matters_level2_num25,Matters_level2_25,Matters_level3_25,Matters_level4_25,Matters_level2_num26,Matters_level2_26,Matters_level3_26,Matters_level4_26
BER.01.001.1676,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,EV,1528,1798,BER,BER,01,Bern,Eidgenössischer Ort,WL,EV,7,Claudia Schott-Volm,1658-12-20T00:00:00Z,Verordnung,Münsingen,Thurnen,Gurzelen,Wanzenried,,,,,,,,,"StAB, A I 487, S. 26 f.",StAB,A I 487,S. 26 f.,Die Execution des Teüffer Mandats anbevelchen.,1.1,Religionsangelegenheiten,Sekten/Ketzerei,",Täufer; Überwachung; Versammlungsverbot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BER.01.001.1677,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,EV,1528,1798,BER,BER,01,Bern,Eidgenössischer Ort,WL,EV,7,Claudia Schott-Volm,1658-12-20T00:00:00Z,Verordnung,Lenzburg,,,,,,,,,,,,"StAB, A I 487, S. 28 f.",StAB,A I 487,S. 28 f.,Der Widertöufferen halb.,1.1,Religionsangelegenheiten,Sekten/Ketzerei,",Täufer; Aufenthalt; Verbot; Fremde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BER.01.001.1720,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,EV,1528,1798,BER,BER,01,Bern,Eidgenössischer Ort,WL,EV,7,Claudia Schott-Volm,1660-09-05T00:00:00Z,Verordnung,Höchstetten,,,,,,,,,,,,"StAB, A I 487, S. 103 f.",StAB,A I 487,S. 103 f.,Wegen der Teüfferen Wegzugs.,1.1,Religionsangelegenheiten,Sekten/Ketzerei,",Täufer; Aufenthalt; Verbot; Fremde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BER.01.001.1260,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,EV,1528,1798,BER,BER,01,Bern,Eidgenössischer Ort,WL,EV,7,Claudia Schott-Volm,1661-08-23T00:00:00Z,Verordnung,Orpund,Gals,Münchenbuchsee,Fraubrunnen,,,,,,,,,"StAB, A I 487, S. 167 f.",StAB,A I 487,S. 167 f.,Mehrerer Erleüterung des Eidtenpuncktens ihres Eydts halber.,1.1,Religionsangelegenheiten,Klosterwesen/Orden,",Aufsicht; Klosterwesen; Vögte; Eidesformel",,3.2,Sozialwesen,Armenwesen,",Verwaltung; Mißbrauch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BER.01.001.1265,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,EV,1528,1798,BER,BER,01,Bern,Eidgenössischer Ort,WL,EV,7,Claudia Schott-Volm,1661-12-26T00:00:00Z,Verordnung,Langenthal,,,,,,,,,,,,"StAB, A I 487, S. 173",StAB,A I 487,S. 173,,1.1,Religionsangelegenheiten,Geistlichkeit,",Amtsausübung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BER.01.001.1270,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,EV,1528,1798,BER,BER,01,Bern,Eidgenössischer Ort,WL,EV,7,Claudia Schott-Volm,1662-06-02T00:00:00Z,Verordnung,Bolligen,Stettlen,Köniz,Bümpliz,Muri,,,,,,,,"StAB, A I 487, S. 186",StAB,A I 487,S. 186,,1.1,Religionsangelegenheiten,Kirchenzucht,",Taufe; Hintersassen",,1.2,Bevölkerungs- und Standeswesen; Herrschaftsverfassung,Bürgerrecht,",Erwerb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BER.01.001.1729,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,EV,1528,1798,BER,BER,01,Bern,Eidgenössischer Ort,WL,EV,7,Claudia Schott-Volm,1663-11-30T00:00:00Z,Verordnung,Sternenberg,Seftigen,Signau,Laupen,Konolfingen,,,,,,,,"StAB, A I 487, S. 221",StAB,A I 487,S. 221,Wider etliche unnötige Breüch an Hochzyten.,1.1,Religionsangelegenheiten,Geistlichkeit,",Amtsausübung; Hochzeit; Gottesdienstgang",,1.1,Religionsangelegenheiten,Kirchenzucht,",Amtsausübung; Hochzeit; Gottesdienstgang",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BER.01.001.1739,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,EV,1528,1798,BER,BER,01,Bern,Eidgenössischer Ort,WL,EV,7,Claudia Schott-Volm,1664-05-15T00:00:00Z,Ordnung,Murten,Schwarzenburg,,,,,,,,,,,"StAB, A I 487, S. 248-252",StAB,A I 487,S. 248-252,Weitere Fürsechung der Kinderlehren halb.,1.1,Religionsangelegenheiten,Religiöse Unterweisung,",Religionsunterricht; Sonntagsschule; Gottesdienst; Gebete",,1.5,Sittlichkeit; Ehe- und Familie; Sexualität,Familie/Eheführung,",Kindererziehung",,3.3,Erziehungswesen; Kultur,Schule,",Lehrpersonal; Lehrer; Ausbildung; Lehrplan; Lieder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BER.01.001.1796,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,EV,1528,1798,BER,BER,01,Bern,Eidgenössischer Ort,WL,EV,7,Claudia Schott-Volm,1666-12-24T00:00:00Z,Verordnung,Gurzelen,Höchstetten,Signau,Laupen,Murten,Kehrsatz,,,,,,,"StAB, A I 487, S. 354",StAB,A I 487,S. 354,Das Wynaussgeben an Sontagen verpieten.,1.1,Religionsangelegenheiten,Sonntagsheiligung,",Vergnügungen; Alkoholkonsum",,4.6,Handel und Dienstleistungen,Bewirtung/Gaststätten,",Alkoholausschank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BER.01.001.1811,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,EV,1528,1798,BER,BER,01,Bern,Eidgenössischer Ort,WL,EV,7,Claudia Schott-Volm,1667-08-29T00:00:00Z,Verordnung,Kehrsatz,Thurnen,Wabern bei Bern,Stiftschaffner,Schwarzenburg,,,,,,,,"StAB, A I 487, S. 388 f.",StAB,A I 487,S. 388 f.,Den Schwinget hinder Rügisperg verpieten.,1.1,Religionsangelegenheiten,Sonntagsheiligung,",Spielen; Vergnügungen; Alkoholkonsum; Schwingetfest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
